Tabelle: 21371-0001
Higher education expenditure: Germany, years, type of higher;;;;;;;;;;;;;;;;;
education institution, subject groups;;;;;;;;;;;;;;;;;
Finance stat. of institutions of higher education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Higher education expenditure (EUR 1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
;Human Medicine/Health Science;17020448;e;17926666;e;18793741;e;19810002;e;20498992;e;20865262;e;21815005;e;22590420;e;24219606;e;24990806;e;26877896;e;29064194;e;31481197;e;33017223;e;34447807;e;36756461;e
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Engineering Sciences;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Art, Art Theory;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Central facilities (excl. hospital-spec. facil.);-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Total;17020448;e;17926666;e;18793741;e;19810002;e;20498992;e;20865262;e;21815005;e;22590420;e;24219606;e;24990806;e;26877896;e;29064194;e;31481197;e;33017223;e;34447807;e;36756461;e
Colleges of education;Humanities;16799;e;18924;e;18534;e;19560;e;21061;e;22081;e;22703;e;22370;e;22981;e;23530;e;23808;e;24436;e;26550;e;26260;e;29985;e;29533;e
;Sports;2741;e;3047;e;3183;e;3458;e;3340;e;3675;e;3688;e;4120;e;4404;e;4318;e;3930;e;4000;e;4002;e;3920;e;3938;e;4306;e
;Law, Business and Economics, Social Sciences;22569;e;23437;e;22504;e;24959;e;26098;e;28486;e;29717;e;31871;e;32051;e;32836;e;35465;e;38314;e;39704;e;39993;e;43822;e;44635;e
;Mathematics, Natural Sciences;13834;e;14618;e;14601;e;16474;e;17000;e;18183;e;18036;e;18408;e;17765;e;18874;e;18508;e;20172;e;20158;e;20982;e;22765;e;22274;e
;Human Medicine/Health Science;7;e;273;e;242;e;553;e;484;e;584;e;341;e;1045;e;1205;e;1279;e;1764;e;2651;e;2996;e;3003;e;3386;e;3228;e
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1755;e;1604;e;1654;e;1637;e;1685;e;1703;e;1740;e;2156;e;1844;e;2079;e;2152;e;2187;e;2128;e;2048;e;2269;e;2277;e
;Engineering Sciences;2431;e;2186;e;2266;e;2548;e;2701;e;2732;e;3276;e;2543;e;2156;e;2211;e;2105;e;2346;e;2860;e;2953;e;3278;e;3386;e
;Art, Art Theory;5543;e;5125;e;5301;e;5520;e;5189;e;5645;e;5521;e;5713;e;5916;e;5655;e;6323;e;6479;e;6487;e;6751;e;10595;e;7727;e
;Central facilities (excl. hospital-spec. facil.);47272;e;49644;e;50472;e;50490;e;50096;e;51294;e;54971;e;54507;e;58525;e;62532;e;66879;e;71238;e;72614;e;77197;e;86556;e;91451;e
;Total;112952;e;118859;e;118756;e;125198;e;127655;e;134383;e;139995;e;142733;e;146847;e;153314;e;160934;e;171824;e;177499;e;183107;e;206594;e;208817;e
Colleges of theology;Humanities;18866;e;22360;e;23261;e;24611;e;24278;e;27101;e;27854;e;27405;e;29659;e;30005;e;30311;e;27707;e;31542;e;30219;e;30307;e;32139;e
;Sports;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Law, Business and Economics, Social Sciences;586;e;549;e;589;e;615;e;661;e;679;e;690;e;740;e;766;e;830;e;800;e;755;e;572;e;622;e;1002;e;1228;e
;Mathematics, Natural Sciences;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Human Medicine/Health Science;390;e;525;e;565;e;982;e;1162;e;1354;e;1423;e;1570;e;1974;e;2070;e;2136;e;2132;e;1822;e;1573;e;961;e;400;e
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Engineering Sciences;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Art, Art Theory;-;;1239;e;1158;e;1259;e;1513;e;1502;e;1646;e;1927;e;2491;e;2686;e;2758;e;3049;e;3123;e;2250;e;2323;e;2151;e
;Central facilities (excl. hospital-spec. facil.);15300;e;10141;e;9780;e;10292;e;10633;e;10108;e;10706;e;11758;e;11946;e;11511;e;10783;e;14921;e;10705;e;10891;e;11097;e;13423;e
;Total;35143;e;34813;e;35353;e;37758;e;38247;e;40744;e;42319;e;43400;e;46836;e;47102;e;46789;e;48564;e;47764;e;45555;e;45689;e;49341;e
Colleges of art;Humanities;1741;e;1763;e;764;e;1083;e;2836;e;3419;e;3274;e;3683;e;3199;e;3281;e;3589;e;2889;e;3151;e;3548;e;3600;e;2967;e
;Sports;3;e;4;e;4;e;4;e;4;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Law, Business and Economics, Social Sciences;2253;e;2942;e;5366;e;6028;e;5037;e;6925;e;6725;e;6539;e;9177;e;9197;e;8247;e;8870;e;6964;e;7203;e;7757;e;8108;e
;Mathematics, Natural Sciences;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Human Medicine/Health Science;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Engineering Sciences;6159;e;5957;e;6446;e;6408;e;6336;e;6743;e;8287;e;8137;e;7908;e;8700;e;8659;e;5891;e;8084;e;8517;e;8838;e;10056;e
;Art, Art Theory;372372;e;376054;e;399804;e;409643;e;416780;e;423628;e;425444;e;439089;e;450509;e;479777;e;495016;e;465656;e;509786;e;574691;e;565888;e;586001;e
;Central facilities (excl. hospital-spec. facil.);166286;e;166202;e;168854;e;170550;e;174232;e;180256;e;161227;e;165068;e;172510;e;188235;e;190271;e;288133;e;222268;e;227344;e;243140;e;252310;e
;Total;548816;e;552921;e;581238;e;593716;e;605225;e;620971;e;604958;e;622515;e;643303;e;689189;e;705781;e;771438;e;750253;e;821303;e;829223;e;859443;e
Universities of applied sciences;Humanities;38763;e;41488;e;46886;e;57934;e;60101;e;63109;e;56375;e;60251;e;59872;e;59326;e;62233;e;66265;e;66437;e;69494;e;71720;e;72233;e
;Sports;422;e;699;e;1554;e;2280;e;2229;e;2902;e;3940;e;2506;e;2427;e;2374;e;2783;e;3094;e;3686;e;5605;e;6956;e;6497;e
;Law, Business and Economics, Social Sciences;634984;e;727681;e;837297;e;886003;e;970388;e;1043954;e;1093392;e;1193215;e;1271415;e;1345040;e;1421359;e;1503986;e;1636577;e;1802670;e;2029219;e;2188731;e
;Mathematics, Natural Sciences;88583;e;90881;e;101607;e;108658;e;113552;e;146357;e;125884;e;129636;e;126741;e;129568;e;132458;e;134499;e;133211;e;134945;e;141110;e;158066;e
;Human Medicine/Health Science;14858;e;24672;e;32268;e;44321;e;54629;e;69653;e;80473;e;95821;e;132812;e;149023;e;152764;e;165863;e;183486;e;210833;e;242766;e;244395;e
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;82583;e;90771;e;103196;e;114439;e;111834;e;117103;e;145560;e;134835;e;143767;e;152780;e;157612;e;155629;e;159271;e;166763;e;184863;e;189041;e
;Engineering Sciences;1050031;e;1175472;e;1315969;e;1418337;e;1465568;e;1606736;e;1685423;e;1747199;e;1776085;e;1856603;e;1925078;e;1996808;e;2077779;e;2172230;e;2295070;e;2387191;e
;Art, Art Theory;94019;e;104263;e;116660;e;130657;e;122935;e;134257;e;148460;e;159251;e;163397;e;159395;e;171316;e;163380;e;173142;e;190134;e;196638;e;191511;e
;Central facilities (excl. hospital-spec. facil.);1365414;e;1618636;e;1733673;e;1893200;e;1968803;e;2126628;e;2284250;e;2404211;e;2491254;e;2679873;e;2806239;e;2942410;e;3075139;e;3281183;e;3497371;e;3730049;e
;Total;3369656;e;3874564;e;4289110;e;4655827;e;4870039;e;5310699;e;5623757;e;5926925;e;6167770;e;6533983;e;6831842;e;7131934;e;7508726;e;8033858;e;8665714;e;9167714;e
Colleges of public administration;Humanities;447;e;497;e;412;e;712;e;306;e;12;e;13;e;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Sports;108;e;84;e;85;e;65;e;66;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Law, Business and Economics, Social Sciences;165719;e;181553;e;186570;e;223755;e;244889;e;247912;e;252094;e;269219;e;294020;e;329063;e;390435;e;437721;e;475368;e;499066;e;559287;e;594538;e
;Mathematics, Natural Sciences;76;e;-;;-;;1011;e;991;e;1022;e;1069;e;1395;e;1421;e;1311;e;491;e;1108;e;875;e;938;e;1017;e;1098;e
;Human Medicine/Health Science;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Engineering Sciences;724;e;6805;e;6508;e;6647;e;8339;e;8912;e;10440;e;10964;e;14070;e;13540;e;13463;e;16044;e;17723;e;16196;e;17155;e;17013;e
;Art, Art Theory;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Central facilities (excl. hospital-spec. facil.);91501;e;96438;e;97980;e;78534;e;82372;e;83777;e;91048;e;93665;e;98306;e;111105;e;143997;e;160104;e;161532;e;166550;e;172696;e;187009;e
;Total;258575;e;285376;e;291556;e;310723;e;336962;e;341636;e;354664;e;375242;e;407818;e;455019;e;548386;e;614977;e;655498;e;682750;e;750155;e;799657;e
Total;Humanities;1240167;e;1277771;e;1354124;e;1423843;e;1447994;e;1475656;e;1549701;e;1590297;e;1627924;e;1676716;e;1749083;e;1754983;e;1767170;e;1822562;e;1890043;e;1915942;e
;Sports;148066;e;157987;e;171373;e;174535;e;177514;e;177389;e;184374;e;190267;e;197754;e;204517;e;214543;e;230000;e;224158;e;217583;e;228712;e;248384;e
;Law, Business and Economics, Social Sciences;2527800;e;2755449;e;3051612;e;3247750;e;3391850;e;3542345;e;3692996;e;3902582;e;4089371;e;4267532;e;4526724;e;4747050;e;4928221;e;5279114;e;5660072;e;5994238;e
;Mathematics, Natural Sciences;3339161;e;3546555;e;3787762;e;4069868;e;4136119;e;4215191;e;4265015;e;4310220;e;4317303;e;4458287;e;4587842;e;4603585;e;4672079;e;4812383;e;5020658;e;5228510;e
;Human Medicine/Health Science;17035704;e;17952135;e;18826816;e;19855857;e;20555267;e;20936853;e;21897242;e;22688856;e;24355597;e;25143177;e;27034560;e;29234840;e;31669501;e;33232632;e;34694920;e;37004485;e
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;623005;e;623621;e;671719;e;663760;e;667248;e;686449;e;729431;e;722807;e;739185;e;773395;e;827774;e;842189;e;840888;e;849444;e;906431;e;927482;e
;Engineering Sciences;3656817;e;4081191;e;4485307;e;4771943;e;4860102;e;5159351;e;5415089;e;5538617;e;5583106;e;5807835;e;5972025;e;6244493;e;6449661;e;6719384;e;7158453;e;7288753;e
;Art, Art Theory;613229;e;632841;e;686241;e;709080;e;705051;e;728708;e;759360;e;794487;e;820209;e;848533;e;882735;e;841350;e;904205;e;979339;e;984999;e;998886;e
;Central facilities (excl. hospital-spec. facil.);7154775;e;7753489;e;8114598;e;8748874;e;9070573;e;9392461;e;9714184;e;10289880;e;10383083;e;10950722;e;11487901;e;12513917;e;12980691;e;13288620;e;14309105;e;15588759;e
;Total;36338724;e;38781041;e;41149551;e;43665510;e;45011717;e;46314404;e;48207392;e;50028014;e;52113531;e;54130715;e;57283188;e;61012407;e;64436575;e;67201062;e;70853393;e;75195439;e
__________
"Human Medicine/Health Science:
Including central facilities of hospitals at universities."
© Statistisches Bundesamt (Destatis), 2025
created: 2025-04-10 / 13:39:13
